Class,precision,recall,f1-score,support
0,0.98,1.00,0.99,60
1,0.99,1.00,1.00,720
2,0.99,1.00,1.00,750
3,1.00,0.97,0.99,450
4,1.00,0.99,1.00,660
5,0.97,1.00,0.98,630
6,1.00,0.98,0.99,150
7,1.00,1.00,1.00,450
8,1.00,0.99,0.99,450
9,1.00,1.00,1.00,480
10,1.00,1.00,1.00,660
11,0.97,0.99,0.98,420
12,1.00,0.98,0.99,690
13,1.00,1.00,1.00,720
14,0.98,1.00,0.99,270
15,0.99,1.00,0.99,210
16,1.00,1.00,1.00,150
17,1.00,1.00,1.00,360
18,0.99,0.97,0.98,390
19,0.98,1.00,0.99,60
20,1.00,1.00,1.00,90
21,0.84,1.00,0.91,90
22,1.00,0.84,0.91,120
23,0.94,0.99,0.96,150
24,0.98,0.97,0.97,90
25,0.99,0.99,0.99,480
26,0.98,0.97,0.98,180
27,0.95,0.63,0.76,60
28,1.00,0.98,0.99,150
29,0.96,1.00,0.98,90
30,0.92,0.95,0.93,150
31,0.99,1.00,1.00,270
32,0.97,1.00,0.98,60
33,0.99,1.00,0.99,210
34,0.95,1.00,0.98,120
35,0.99,1.00,1.00,390
36,0.99,1.00,1.00,120
37,1.00,1.00,1.00,60
38,1.00,0.98,0.99,690
39,0.99,0.97,0.98,90
40,0.90,0.98,0.94,90
41,1.00,1.00,1.00,60
42,1.00,1.00,1.00,90
accuracy,0.99,0.99,0.99,0.99
macro avg,0.98,0.98,0.98,12630.00
weighted avg,0.99,0.99,0.99,12630.00
